ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
RA|ラン,RANDORホテル札幌スイーツ,札幌市中央区南5条西7丁目1-2,5条通と6条通の仲通り
RA|ラン,RANDORホテル札幌プレステージ,札幌市中央区南６条西５丁目１−２,南進一通西側、7条寄り
RA|ラン,RANDORホテル札幌ヘリテージ,札幌市中央区南７条西４丁目４２４−１０,南7条通南側西門
RA|ラン,RANDORレジデンスすすきのスイーツ,札幌市中央区南６条西５丁目１−５,6条通南側東角から2軒目
SAN GRAN|サングラン,SAN GRAN HOTEL札幌大通,道札幌市中央区北１条西４丁目1−１ 三甲大通公園ビル 4階,北１条通　三甲大通公園ビル4階
SHNKA|シンカ,SHINKA HOTEL SUSUKINO,札幌市中央区南六条西8丁目8-10,南6条通南側
T,Tマークシティホテル札幌,札幌市中央区南7条西5丁目,南７条通　北側
T,Tマークシティホテル札幌大通,札幌市中央区南2条西7丁目12-1,7丁目と8丁目の間　東側
Tabist|タビスト,Tabist THE GREEN SAPPORO,幌市中央区南３条西２丁目１−５,南向き一通西側　ＭＫタクシー乗り場の裏（北側）
Ten|テン,Ten to Ten Hostel,札幌市北区北7条西8丁目3-12,北8条通沿い
TH|B|ザ|ビー,the b 札幌,札幌市中央区南３条西２丁目１７−１７,南３条通北側、北向一通右側、交差点　旧ＷＢＦフォースティ
THE|KNOT|ザ|ノット,THE KNOT SAPPORO（ザ ノット 札幌）,札幌市中央区南３条西３丁目１６−２,千秋庵のビル
UNWIND|アンワインド,UNWIND HOTEL & BAR 札幌（アンワインドホテルアンドバー札幌）,札幌市中央区南８条西５丁目２８９−１１１,エクセルホテル東急の北向い
WBF|ダブ,ホテルWBF 札幌中央,札幌市中央区南２条西１丁目２−２,南２条通北側
アーバン|マルコー,アーバンホテルマルコー 札幌,札幌市東区北１７条東１丁目３−７,北18条通南側東角
アクシア,アクシアイン札幌すすきの,札幌市中央区南６条西５丁目８−６,5丁目と6丁目の間、東側
アパ,アパホテル〈札幌すすきの駅西〉,札幌市中央区南４条西７丁目１−１,
アパ,アパホテル〈札幌すすきの駅前〉,札幌市中央区南４条西２丁目２−５,ローソン
アパ,アパホテル〈札幌大通駅前西〉,札幌市中央区南1条西9-1-5,南1条通りと大通りの仲通り
アパ,アパホテル〈札幌大通駅前南〉,札幌市中央区南２条西７丁目１０−１,南２条通北側
アパ,アパホテル〈札幌豊水すすきの駅前〉,札幌市中央区南６条西１丁目１１−２,６条と７条の間中通北側
アパ,アパホテル＆リゾート〈札幌〉,札幌市南区川沿４条２丁目,
アパ|TKP,アパホテル〈TKP札幌駅前〉,札幌市中央区北２条西２丁目19 TKP札幌ビル6F,北３条通南側
アパ|TKP,アパホテル〈TKP札幌駅北口〉EXCELLENT,札幌市北区北１０条西３丁目７,９と１０の間北側
アベスト,アベスト札幌,札幌市中央区南２条西６丁目１−１,元のサンルートニュー札幌
アルファベッド|ALPHABED,ALPHABED INN 札幌大通公園,札幌市中央区南１条西７丁目20−２,１条通北側
アンドルームス,ホテル・アンドルームス札幌すすきの,札幌市中央区南７条西１丁目１−９,南６条と７条の間　南側　ｏｒ創成川側道沿い
イビス,イビススタイルズ 札幌,札幌市中央区南8条西3丁目10-10,南8条通北側ローソン東隣
インター|コンチネンタル,インターコンチネンタル札幌,札幌市中央区南１０条西１丁目１−４,パークホテルの向かい
ヴィ,ヴィラコウシドウ琴似,札幌市西区琴似２条５丁目２−１０,琴似本通７－１１の裏
